startTime,endTime,true,segmentName
0.000000000,13.800000000,1,"A"
13.800000000,20.800000000,2,"B"
20.800000000,26.000000000,3,"C"
26.000000000,34.400000000,2,"B"
34.400000000,40.200000000,3,"C"
40.200000000,54.600000000,4,"D"
54.600000000,67.200000000,5,"E"
67.200000000,74.000000000,6,"F"
74.000000000,81.000000000,5,"E"
81.000000000,87.600000000,6,"F"
87.600000000,94.600000000,5,"E"
94.600000000,109.200000000,4,"D"
109.200000000,122.400000000,1,"A"
122.400000000,129.600000000,2,"B"
129.600000000,134.800000000,3,"C"
134.800000000,143.200000000,2,"B"
143.200000000,148.600000000,3,"C"
148.600000000,163.000000000,4,"D"
163.000000000,193.000000000,7,"G"
